x,y
0,0
0,0
0,0
0,0
0,0
0,0
0.09656,0.030065
0.09656,0.030065
0.09656,0.030065
0.09656,0.030065
0.09656,0.030065
0.09656,0.030065
0.09656,0.030065
0.09656,0.030065
0.19649,0.061064
0.19649,0.061064
0.19649,0.061064
0.19649,0.061064
0.19649,0.061064
0.26051,0.08177
0.26051,0.08177
0.26051,0.08177
0.29979,0.092998
0.29979,0.092998
0.29979,0.092998
0.29979,0.092998
0.29979,0.092998
0.36604,0.11367
0.36604,0.11367
0.36604,0.11367
0.36604,0.11367
0.36604,0.11367
0.36604,0.11367
0.36604,0.11367
0.36604,0.11367
0.47607,0.147472
0.47607,0.147472
0.47607,0.147472
0.47607,0.147472
0.47607,0.147472
0.47607,0.147472
0.47607,0.147472
0.47607,0.147472
0.58835,0.182225
0.58835,0.182225
0.58835,0.182225
0.58835,0.182225
0.58835,0.182225
0.66133,0.204765
0.66133,0.204765
0.66133,0.204765
0.70511,0.217896
0.70511,0.217896
0.70511,0.217896
0.70511,0.217896
0.70511,0.217896
0.78034,0.241387
0.78034,0.241387
0.78034,0.241387
0.78034,0.241387
0.78034,0.241387
0.78034,0.241387
0.78034,0.241387
0.78034,0.241387
0.90384,0.278926
0.90384,0.278926
0.90384,0.278926
0.90384,0.278926
0.90384,0.278926
0.90384,0.278926
0.90384,0.278926
0.90384,0.278926
1.03183,0.318368
1.03183,0.318368
1.03183,0.318368
1.03183,0.318368
1.03183,0.318368
1.03183,0.318368
1.03183,0.318368
1.03183,0.318368
1.16546,0.360679
1.16546,0.360679
1.16546,0.360679
1.16546,0.360679
1.16546,0.360679
1.16546,0.360679
1.16546,0.360679
1.16546,0.360679
1.30244,0.40294
1.30244,0.40294
1.30244,0.40294
1.30244,0.40294
1.30244,0.40294
1.30244,0.40294
1.30244,0.40294
1.30244,0.40294
1.44278,0.446135
1.44278,0.446135
1.44278,0.446135
1.44278,0.446135
1.44278,0.446135
1.53035,0.472396
1.53035,0.472396
1.53035,0.472396
1.58201,0.489347
1.58201,0.489347
1.58201,0.489347
1.58201,0.489347
1.58201,0.489347
1.67071,0.516576
1.67071,0.516576
1.67071,0.516576
1.67071,0.516576
1.67071,0.516576
1.67071,0.516576
1.67071,0.516576
1.67071,0.516576
1.81442,0.560705
1.81442,0.560705
1.81442,0.560705
1.81442,0.560705
1.81442,0.560705
1.81442,0.560705
1.81442,0.560705
1.81442,0.560705
1.9615,0.605769
1.9615,0.605769
1.9615,0.605769
1.9615,0.605769
1.9615,0.605769
2.05469,0.6349
2.05469,0.6349
2.05469,0.6349
2.05469,0.6349
2.05469,0.6349
2.05469,0.6349
2.05469,0.6349
2.05469,0.6349
2.20627,0.681866
