X_Target,Y_Target
-106.4422379,0
-106.3033752,0
-106.164505,0
-106.0256348,0
-105.8867645,0
-105.7478943,0
-105.6090317,0
-105.4701614,0
-105.3312912,0
-105.192421,0
-105.0535507,0
-104.9146805,0
-104.7758102,0
-104.63694,0
-104.4980698,0
-104.3591995,0
-104.2203293,0
-104.081459,0
-103.9425888,0
-103.8037109,0
-103.6648407,0
-103.5259705,0
-103.3870926,0
-103.2482224,0
-103.1093521,0
-102.9704742,0
-102.831604,0
-102.6927261,0
-102.5538559,0
-102.414978,0
-102.2761002,0
-102.1372299,0
-101.9983521,0
-101.8594742,0
-101.7205963,0
-101.5817184,0
-101.4428406,0
-101.3039627,0
-101.1650848,0
-101.026207,0
-100.8873291,0
-100.7484512,0
-100.6095657,0
-100.4706879,0
-100.33181,0
-100.1929321,0
-100.0540466,0
-99.91516876,0
-99.77628326,0
-99.6374054,0
-99.4985199,0
-99.3596344,0
-99.22075653,0
-99.08187103,0
-98.94298553,0
-98.80410767,0
-98.66522217,0
-98.52633667,0
-98.38745117,0
-98.24856567,0
-98.10968018,0
-97.97079468,0
-97.83190918,0
-97.69302368,0
-97.55413818,0
-97.41525269,0
-97.27636719,0
-97.13748169,0
-96.99859619,0
-96.85970306,0
-96.72081757,0
-96.58193207,0
-96.44303894,0
-96.30415344,0
-96.16526794,0
-96.02637482,0
-95.88748932,0
-95.74859619,0
-95.60971069,0
-95.4708252,0
-95.33193207,0
-95.19303894,0
-95.05415344,0
-94.91526031,0
-94.77637482,0
-94.63748169,0
-94.49858856,0
-94.35970306,0
-94.22080994,0
-94.08191681,0
-93.94303131,0
-93.80413818,0
-93.66524506,0
-93.52635193,0
-93.38746643,0
-93.2485733,0
-93.10968018,0
-92.97078705,0
-92.83190155,0
-92.69300842,0
-92.5541153,0
-92.41522217,0
-92.27632904,0
-92.13743591,0
-91.99854279,0
-91.85965729,0
-91.72076416,0
-91.58187103,0
-91.44297791,0
-91.30408478,0
-91.16519165,0
-91.02629852,0
-90.8874054,0
-90.74851227,0
-90.60962677,0
-90.47073364,0
-90.33184052,0
-90.19294739,0
-90.05405426,0
-89.91516113,0
-89.77626801,0
-89.63737488,0
-89.49848175,0
-89.35958862,0
-89.2206955,0
-89.08180237,0
-88.94291687,0
-88.80402374,0
-88.66513062,0
-88.52623749,0
-88.38734436,0
-88.24845123,0
-88.10955811,0
-87.97066498,0
-87.83177185,0
-87.69288635,0
-87.55399323,0
-87.4151001,0
-87.27620697,0
-87.13731384,0
-86.99842072,0
-86.85952759,0
-86.72064209,0
-86.58174896,0
-86.44285583,0
-86.30396271,0
-86.16506958,0
-86.02617645,0
-85.88729095,0
-85.74839783,0
-85.6095047,0
-85.47061157,0
-85.33172607,0
-85.19283295,0
-85.05393982,0
-84.91504669,0
-84.77616119,0
-84.63726807,0
-84.49837494,0
-84.35948181,0
-84.22059631,0
-84.08170319,0
-83.94281006,0
-83.80391693,0
-83.66503143,0
-83.52613831,0
-83.38724518,0
-83.24835968,0
-83.10946655,0
-82.97057343,0
-82.83168793,0
-82.6927948,0
-82.5539093,0
-82.41501617,0
-82.27612305,0
-82.13723755,0
-81.99834442,0
