x,y
29.511,-59.49132
29.517,-60.00691
29.763,-60.00399
29.769,-60.52803
30.003,-60.52524
30.01,-61.06618
30.244,-61.06339
30.251,-61.59588
30.485,-61.59309
30.492,-62.12559
30.737,-62.12266
30.744,-62.66361
30.99,-62.66069
30.996,-63.19318
31.242,-63.19026
31.248,-63.73965
31.494,-63.73673
31.501,-64.29458
31.735,-64.29179
31.742,-64.84118
31.988,-64.83826
31.994,-65.39611
32.24,-65.39319
32.247,-65.94259
32.503,-65.93953
32.51,-66.49738
32.756,-66.49446
32.763,-67.06076
33.243,-67.05505
33.25,-67.61289
33.507,-67.60984
33.513,-68.18459
33.759,-68.18167
33.766,-68.74797
34.012,-68.74505
34.018,-69.31135
34.264,-69.30843
34.271,-69.89163
34.517,-69.88871
34.524,-70.47191
34.781,-70.46886
34.788,-71.05206
35.045,-71.04901
35.052,-71.64067
35.297,-71.63774
35.305,-72.2294
35.55,-72.22648
35.557,-72.81814
35.557,-72.81814
35.564,-73.41824
35.821,-73.41519
35.828,-74.00685
36.085,-74.00379
36.092,-74.587
36.349,-74.58394
36.356,-75.1756
36.624,-75.17241
36.631,-75.74716
36.888,-75.74411
36.895,-76.31886
37.141,-76.31594
37.147,-76.87379
37.416,-76.8706
37.422,-77.41999
37.701,-77.41667
37.708,-77.97452
37.976,-77.97133
37.983,-78.53763
38.24,-78.53458
38.246,-79.08397
38.246,-79.08397
38.532,-79.61314
38.811,-79.60982
38.818,-80.15922
39.075,-80.15616
39.075,-80.15616
39.332,-80.15311
39.344,-81.22654
39.624,-81.22322
39.624,-81.22322
39.892,-81.22003
39.898,-81.75252
40.155,-81.74947
40.161,-82.28196
40.418,-82.2789
40.425,-82.81139
40.682,-82.80834
40.688,-83.34083
40.688,-83.34083
40.701,-84.40581
41.214,-84.3997
41.214,-84.3997
41.684,-84.39412
41.696,-85.46755
41.92,-85.4649
41.926,-86.00584
42.139,-86.00332
42.145,-86.55271
42.145,-86.55271
42.152,-87.11901
42.319,-87.11702
42.326,-87.68332
42.483,-87.68146
42.489,-88.23931
42.634,-88.23758
42.641,-88.81233
42.764,-88.81087
42.771,-89.39407
42.849,-89.39314
42.856,-89.9679
42.879,-89.96763
42.885,-90.53393
42.885,-90.53393
42.892,-91.10868
42.859,-91.10908
42.865,-91.65848
42.809,-91.65914
42.816,-92.19163
42.693,-92.19309
42.699,-92.72558
42.565,-92.72718
42.572,-93.25122
42.393,-93.25334
42.399,-93.76893
41.963,-93.77411
41.969,-94.28124
41.969,-94.28124
41.969,-94.28124
41.969,-94.28124
41.969,-94.28124
41.422,-94.28775
41.434,-95.26821
41.132,-95.2718
41.138,-95.73667
40.814,-95.74053
40.819,-96.17159
40.484,-96.17558
40.489,-96.59819
40.143,-96.60231
40.152,-97.37991
39.772,-97.38443
39.777,-97.74788
39.375,-97.75266
39.379,-98.09075
38.988,-98.0954
38.991,-98.38278
38.556,-98.38796
38.559,-98.64152
38.112,-98.64684
38.114,-98.84124
37.656,-98.84669
37.658,-99.00728
37.211,-99.0126
37.211,-99.0126
36.764,-99.01791
36.766,-99.1616
35.85,-99.17249
35.852,-99.32463
35.852,-99.32463
35.853,-99.36689
35.406,-99.37221
35.406,-99.38066
34.546,-99.39089
34.545,-99.34863
34.132,-99.35355
34.131,-99.29438
33.74,-99.29903
33.74,-99.23987
33.74,-99.23987
33.739,-99.15534
33.359,-99.15986
33.357,-99.02463
32.989,-99.02901
32.987,-98.89377
32.63,-98.89803
32.628,-98.75434
32.293,-98.75832
32.291,-98.58083
31.967,-98.58468
31.964,-98.39028
31.652,-98.394
31.652,-98.394
31.35,-98.39759
31.348,-98.20318
30.767,-98.21009
30.761,-97.74522
30.482,-97.74854
30.479,-97.49497
30.479,-97.49497
30.476,-97.23295
30.186,-97.23641
30.182,-96.96594
29.903,-96.96926
29.9,-96.69879
29.61,-96.70224
29.606,-96.40641
29.327,-96.40973
29.323,-96.097
29.044,-96.10032
29.04,-95.78759
28.772,-95.79078
28.768,-95.46114
28.5,-95.46433
28.496,-95.10933
28.239,-95.11239
28.235,-94.75739
27.966,-94.76058
27.962,-94.38868
27.705,-94.39174
27.701,-94.01139
27.444,-94.01444
27.439,-93.62564
27.182,-93.6287
27.177,-93.22299
26.92,-93.22604
26.915,-92.81188
26.658,-92.81494
26.653,-92.39233
26.396,-92.39538
26.391,-91.96432
26.134,-91.96737
26.129,-91.52786
26.129,-91.52786
26.124,-91.07143
25.61,-91.07755
25.604,-90.62112
25.348,-90.62418
25.342,-90.1593
25.085,-90.16236
25.079,-89.68058
24.811,-89.68377
24.806,-89.21044
24.806,-89.21044
24.538,-89.21363
24.538,-89.21363
24.538,-89.21363
23.99,-89.22014
23.979,-88.24813
23.71,-88.25132
23.699,-87.25396
23.699,-87.25396
23.419,-87.25728
23.162,-87.26033
23.156,-86.74474
22.587,-86.75152
22.574,-85.72034
22.306,-85.72353
22.3,-85.20794
22.3,-85.20794
22.294,-84.67545
22.026,-84.67864
22.019,-84.1377
21.751,-84.14088
21.751,-84.14088
21.483,-84.14407
21.476,-83.60313
21.208,-83.60632
21.202,-83.07382
20.934,-83.07701
20.927,-82.52762
20.67,-82.53067
20.664,-81.98127
20.128,-81.98765
20.115,-80.88886
19.869,-80.89178
19.862,-80.33393
19.628,-80.33672
19.621,-79.77887
19.621,-79.77887
19.614,-79.22947
19.358,-79.23253
19.358,-79.23253
19.358,-79.23253
19.083,-78.68632
18.815,-78.68951
18.808,-78.14011
18.551,-78.14317
18.545,-77.59377
18.288,-77.59682
18.275,-76.49803
17.995,-76.50135
17.989,-75.96041
17.699,-75.96386
17.692,-75.42291
17.692,-75.42291
17.429,-74.86812
17.172,-74.87118
17.165,-74.33023
17.165,-74.33023
16.879,-73.79261
16.6,-73.79593
16.594,-73.25498
16.326,-73.25817
16.319,-72.70877
16.062,-72.71183
16.056,-72.17088
15.776,-72.1742
15.77,-71.62481
15.491,-71.62813
15.484,-71.08718
15.216,-71.09037
15.21,-70.54097
14.941,-70.54416
14.935,-69.98631
14.656,-69.98963
14.649,-69.44023
14.381,-69.44342
14.374,-68.88557
14.095,-68.88889
14.088,-68.33104
13.82,-68.33423
13.814,-67.77638
13.545,-67.77957
13.539,-67.21327
13.271,-67.21645
13.264,-66.65015
12.985,-66.65347
12.978,-66.08717
12.71,-66.09036
12.703,-65.52406
12.435,-65.52724
12.428,-64.95249
12.16,-64.95568
12.153,-64.38092
11.885,-64.38411
11.878,-63.8009
11.599,-63.80422
11.592,-63.22947
11.324,-63.23266
11.317,-62.641
11.06,-62.64405
11.053,-62.04394
10.796,-62.047
10.789,-61.46379
10.521,-61.46698
10.521,-61.46698
10.23,-61.47043
10.216,-60.28711
9.937,-60.29043
9.93,-59.69877
9.683999999,-59.7017
9.676999999,-59.09313
9.409,-59.09632
9.402,-58.49621
9.111,-58.49966
9.103999999,-57.908
8.835999999,-57.91119
8.829,-57.31953
8.539,-57.32298
8.539,-57.32298
8.259,-57.3263
8.251999999,-56.72619
7.972999999,-56.72951
7.966,-56.1294
7.698,-56.13259
7.689999999,-55.53248
7.389,-55.53606
7.381999999,-54.93595
7.381999999,-54.93595
7.368,-53.76108
6.776,-53.76812
6.768999999,-53.16801
6.768999999,-53.16801
6.493,-52.58799
6.203,-52.59144
6.196,-52.01669
5.895,-52.02028
5.887999999,-51.42862
5.619,-51.4318
5.612,-50.83169
5.344,-50.83488
5.336999999,-50.26012
5.336999999,-50.26012
5.028999999,-49.68895
4.727,-49.69254
4.72,-49.10088
4.463,-49.10393
4.455999999,-48.52918
4.176999999,-48.5325
4.17,-47.9662
3.88,-47.96965
3.873,-47.40335
3.583,-47.4068
3.575999999,-46.82359
3.296999999,-46.82691
3.289999999,-46.25216
3.022,-46.25534
3.015,-45.69749
2.725,-45.70095
2.717999999,-45.13464
2.426999999,-45.1381
2.420999999,-44.57179
2.153,-44.57498
2.146,-44.01713
1.867,-44.02045
1.859999999,-43.4626
1.580999999,-43.46592
1.573999999,-42.90807
1.306,-42.91125
1.299,-42.3534
1.030999999,-42.35659
1.024999999,-41.79874
0.755999999,-41.80193
0.75,-41.25253
0.482,-41.25571
0.475,-40.69786
0.217999999,-40.70092
0.211999999,-40.14307
0.211999999,-40.14307
0.204999999,-39.59367
-0.32,-39.59991
-0.327000001,-39.05051
-0.583000001,-39.05357
-0.590000001,-38.49571
-0.847,-38.49877
-0.854,-37.94937
-1.099,-37.95229
-1.106000001,-37.40289
-1.374000001,-37.40608
-1.380000001,-36.86513
-1.648,-36.86832
-1.655,-36.32737
-1.912,-36.33043
-1.918000001,-35.79793
-2.175000001,-35.80099
-2.181000001,-35.27695
-2.427,-35.27987
-2.427,-35.27987
-2.684,-35.28292
-2.696,-34.24329
-2.953000001,-34.24634
-2.960000001,-33.73075
-3.216,-33.73381
-3.223,-33.20977
-3.223,-33.20977
-3.474,-32.70555
-3.720000001,-32.70847
-3.726000001,-32.20978
-3.972,-32.21271
-3.978,-31.70557
-4.235,-31.70862
-4.241,-31.20148
-4.498000001,-31.20454
-4.504000001,-30.70585
-4.772000001,-30.70904
-4.778000001,-30.21881
-5.046,-30.22199
-5.052,-29.72331
-5.32,-29.72649
-5.326,-29.22781
-5.583000001,-29.23086
-5.583000001,-29.23086
-5.851000001,-29.23405
-5.857000001,-28.73536
-6.114,-28.73842
-6.12,-28.23973
-6.354,-28.24252
-6.36,-27.73538
-6.36,-27.73538
-6.36,-27.73538
-7.097,-27.74415
-7.115,-26.25654
-7.372,-26.2596
-7.378,-25.76936
-7.378,-25.76936
-7.378,-25.76936
-7.590000001,-25.77189
-7.596000001,-25.2563
-7.831,-25.25908
-7.843,-24.25326
-8.100000001,-24.25631
-8.100000001,-24.25631
-8.279,-24.25844
-8.284,-23.81892
-8.463,-23.82104
