Xo,Yo
61.80091858,-21.71892357
61.89718628,-21.96277809
61.99330521,-22.20658302
62.08911133,-22.45036507
62.18466187,-22.69410133
62.28009796,-22.93775177
62.37546158,-23.18133545
62.47071838,-23.42491531
62.56591797,-23.66850853
62.66116714,-23.91209602
62.75647354,-24.15566826
62.85173035,-24.39923859
62.94689178,-24.64277649
63.04201126,-24.88621521
63.13712311,-25.12950516
63.23217773,-25.37265396
63.32715607,-25.61569023
63.42211914,-25.8586235
63.51713562,-26.10147858
63.61217499,-26.34430313
63.70718384,-26.58713722
63.80217743,-26.8299675
63.89720154,-27.07275963
63.99222565,-27.31548882
64.08718872,-27.55815697
64.18209839,-27.80075645
64.27698517,-28.04327965
64.37187195,-28.2857399
64.46673584,-28.52817345
64.56157684,-28.77060127
64.65641022,-29.01301384
64.75126648,-29.2553978
64.84610748,-29.49773788
64.94090271,-29.74002266
65.03565979,-29.98223114
65.13038635,-30.22434616
65.2250824,-30.46637535
65.3197403,-30.70833969
65.41439056,-30.95025826
65.50904846,-31.19214058
65.60372925,-31.43400574
65.69841003,-31.67586517
65.79308319,-31.91771317
65.88776398,-32.15953064
65.98243713,-32.40130234
66.0770874,-32.64301682
66.17170715,-32.88466644
66.26631165,-33.12624741
66.36091614,-33.36776733
66.45552063,-33.60923386
66.55010986,-33.85066986
66.64469147,-34.09207916
66.73927307,-34.33345032
66.8338623,-34.5747757
66.92844391,-34.81604767
67.022995,-35.05725861
67.11753845,-35.29840469
67.21207428,-35.53948593
67.30660248,-35.78051758
67.40112305,-36.02151489
67.49565125,-36.26248932
67.59018707,-36.50344849
67.6847229,-36.74438858
67.77926636,-36.98530197
67.87380219,-37.2261734
67.96833038,-37.46699524
68.06285095,-37.70774841
68.15734863,-37.94844055
68.25183868,-38.18906784
68.34632874,-38.42963791
68.44081116,-38.67015457
68.53530121,-38.91063309
68.62978363,-39.15107346
68.72427368,-39.39147568
68.81877136,-39.63183975
68.91326141,-39.87215424
69.00774384,-40.11242294
69.10222626,-40.35263824
69.19670105,-40.59280396
69.29117584,-40.8329277
69.38565826,-41.07301712
69.48013306,-41.3130722
69.57461548,-41.55309677
69.6690979,-41.79309082
69.76358032,-42.03304291
69.85806274,-42.2729454
69.95252991,-42.51279449
70.04699707,-42.75257874
70.14144897,-42.99230576
70.23590088,-43.23197174
70.33034515,-43.47158813
70.42479706,-43.71116257
70.51924896,-43.95069885
70.6137085,-44.19020081
70.70817566,-44.42966461
70.80264282,-44.66909027
70.89710999,-44.90847015
70.99157715,-45.14780807
71.08604431,-45.38709259
71.18050385,-45.62633133
71.27497101,-45.86552429
71.36943054,-46.10467529
71.46389771,-46.34378433
71.55835724,-46.58285141
71.6528244,-46.82187653
71.74728394,-47.06085205
71.84174347,-47.2997818
71.936203,-47.53865814
72.03065491,-47.77748108
72.12510681,-48.0162468
72.21955872,-48.25496674
72.31401062,-48.4936409
72.40847015,-48.73227692
72.50292969,-48.97087479
72.59738922,-49.20943832
72.69185638,-49.44796371
72.78632355,-49.68644714
72.88079834,-49.9248848
72.9752655,-50.16327667
73.06972504,-50.40161896
73.1641922,-50.63990784
73.25865173,-50.87815094
73.3531189,-51.11634445
73.44757843,-51.35449219
73.54204559,-51.59259415
73.63651276,-51.83065414
73.73097992,-52.06866455
73.82544708,-52.306633
73.91991425,-52.54454803
74.01438141,-52.7824173
74.10884857,-53.02023697
74.20331573,-53.25801468
74.29779053,-53.49575043
74.39225769,-53.73344803
74.48673248,-53.97110367
74.5812149,-54.20872116
74.67569733,-54.44629669
74.77017212,-54.68382645
74.86465454,-54.92130661
74.95912933,-55.158741
75.05361176,-55.39612198
75.14808655,-55.63345337
75.24256134,-55.87073135
75.33703613,-56.10796738
75.43151093,-56.34515762
75.52599335,-56.58230209
75.62047577,-56.8194046
75.71495819,-57.05646133
75.80944061,-57.2934761
75.90393066,-57.5304451
75.99842072,-57.76736832
76.09290314,-58.00424957
76.18739319,-58.24108124
76.28189087,-58.47787094
76.37638092,-58.71461868
76.4708786,-58.95132446
76.56536865,-59.18798447
76.65986633,-59.42459869
76.75436401,-59.66116714
76.84885406,-59.897686
76.94335175,-60.13415527
77.0378418,-60.37057877
77.13233948,-60.60694885
77.22683716,-60.84327698
77.32133484,-61.07955933
77.41583252,-61.3157959
77.5103302,-61.55199432
77.60483551,-61.78814697
77.69934082,-62.02425766
77.79384613,-62.26032257
77.88835907,-62.49634552
77.98286438,-62.73232269
78.07737732,-62.96825409
78.17188263,-63.20413589
78.26639557,-63.43997574
78.36090851,-63.67576599
78.45542145,-63.91151428
78.54992676,-64.1472168
78.6444397,-64.38286591
78.73896027,-64.61847687
78.83347321,-64.85404205
78.92798615,-65.08955383
79.02249908,-65.32501984
79.11701965,-65.56044006
79.21153259,-65.79582214
79.30605316,-66.03115845
79.40057373,-66.26644897
79.49510193,-66.50170135
79.5896225,-66.73690796
79.6841507,-66.97206879
79.77867889,-67.20718384
79.87320709,-67.44225311
79.96773529,-67.67727661
