Xo,Yo
0,0
0.31248042,6.5889E-06
0.624910593,3.7606E-05
0.937285066,8.66301E-05
1.249599338,0.000149972
1.561850667,0.000241326
1.874039054,0.0003691
2.186166763,0.000521191
2.498238087,0.000684564
2.81025815,0.00086427
3.12223196,0.001070026
3.434164286,0.001297077
3.746058464,0.001534899
4.057916641,0.001785895
4.369740963,0.002060697
4.681530952,0.0023604
4.99328804,0.002676196
5.305011272,0.003006309
5.616701126,0.003358803
5.928356647,0.003736783
6.239979267,0.004133154
6.551568985,0.004543236
6.863128662,0.004971994
7.174659252,0.005423997
7.486164093,0.005895131
7.797646523,0.006380219
8.109108925,0.006881945
8.420554161,0.00740555
8.731987,0.00794973
9.043408394,0.008509737
9.354820251,0.009086203
9.666225433,0.009683842
9.977622986,0.01030321
10.289011,0.010940339
10.60038948,0.011594148
10.91175652,0.01226811
11.22311115,0.012963875
11.53445244,0.013678595
11.84578133,0.014410236
12.15710163,0.015161031
12.46841526,0.015933285
12.77972412,0.016790111
13.09101963,0.018005176
13.40228176,0.019875932
13.71348381,0.022724157
14.02459908,0.027001891
14.3356142,0.033172101
14.64651299,0.041533455
14.95727348,5.23E-02
15.26786804,0.065669723
15.57826328,0.081853792
15.88842106,0.100916557
16.1982975,0.122988686
16.50784302,0.148280859
16.81699371,0.176991045
17.12569427,0.209214523
17.43387794,0.245068207
17.74147415,0.284731895
18.0484333,0.32809639
18.35472488,0.375070274
18.66030312,0.425712258
18.96512222,0.479963988
19.26914978,0.537637174
19.57234955,0.598653257
19.87466431,0.663080513
20.17604065,0.730958521
20.47643852,0.802219987
20.77582169,0.87679863
21.0741787,0.954512239
21.37155151,1.035048485
21.66794395,1.118315101
21.96339226,1.204078436
22.257967,1.291944027
22.5517292,1.381642222
22.84470558,1.473081112
23.13692665,1.566165447
23.42845726,1.660715103
23.71936798,1.756556511
24.00972748,1.853559852
24.29961014,1.951589823
24.58909798,2.050464153
24.87828445,2.149960756
25.16726112,2.249854803
25.45610619,2.349922657
25.74490738,2.449906111
26.03375626,2.549515963
26.32273865,2.648468018
26.61193275,2.746497869
26.90140724,2.843357086
27.19122696,2.938807726
27.48144913,3.032616854
27.77212715,3.124573946
28.06330681,3.214465857
28.35503197,3.302074671
28.6473484,3.387158632
28.94029617,3.469475508
29.23390007,3.548816919
29.52817345,3.62500596
29.82313728,3.697814703
30.11881256,3.767003059
30.41518784,3.832408667
30.71217346,3.894159317
31.00971413,3.952357769
31.30783081,4.006844044
31.60648537,4.057627201
31.90555954,4.104967594
32.20497131,4.149004936
32.50470352,4.189624786
32.80473709,4.226708889
33.10499954,4.260314465
33.4054184,4.290550232
33.70594406,4.31739521
34.00654984,4.340757847
34.30717468,4.360627174
34.6077652,4.377048969
34.90826416,4.39004612
35.20861816,4.399579048
35.50878525,4.405614853
35.80871201,4.408159256
36.10834885,4.407218456
36.40765762,4.402756214
36.70660019,4.394714832
37.00514603,4.383054256
37.30325699,4.367751122
37.60090637,4.348768711
37.89806366,4.326048851
38.19469452,4.299564838
38.4907608,4.269312859
38.78622818,4.235275269
