,acce_x,acce_y,drivetorque_fl_fb,drivetorque_fr_fb,drivetorque_rl_fb,drivetorque_rr_fb,gauss_heading,gauss_v,gauss_x,gauss_y,steerangle_fb
53,0.214465231,9.841878891,44,44,44,44,-1.997492125,0.91968663,4546367.381,-88757.27109,29
54,0.229631037,9.714731216,44,44,46,44,-1.998919712,0.93812916,4546367.449,-88757.33791,29
55,0.188900873,9.75962925,50,52,52,44,-2.000711354,0.953765445,4546367.461,-88757.45611,29
56,0.080773778,9.925352097,52,52,52,44,-2.001110562,0.95779004,4546367.529,-88757.52293,29
57,0.207381472,9.993041039,52,52,52,44,-2.001262362,0.969951709,4546367.542,-88757.64958,29
58,0.34942615,9.889562607,52,52,52,44,-2.001303641,0.978008467,4546367.61,-88757.72486,29
59,0.336918265,9.733192444,52,52,52,44,-2.001841333,0.987738096,4546367.622,-88757.85151,29
60,0.630167603,9.610412598,52,52,52,44,-2.00299861,0.987430906,4546367.679,-88757.93537,29
61,0.499080867,9.73886776,52,52,52,44,-2.004159881,0.981081733,4546367.692,-88758.06202,29
62,0.557046831,9.620882034,52,52,52,44,-2.005172415,0.951875191,4546367.749,-88758.13743,29
63,0.545476079,9.9152565,52,52,52,44,-2.005876954,0.879895582,4546367.761,-88758.25563,29
64,0.326157898,9.831235886,52,52,52,44,-2.006760724,0.852983058,4546367.818,-88758.32258,29
65,0.350767434,9.988668442,52,52,52,44,-2.007209334,0.808768297,4546367.808,-88758.44105,28
66,0.301685691,9.973470688,52,52,52,44,-2.007847427,0.801314453,4546367.854,-88758.50813,28
67,0.252735078,9.974731445,52,52,52,52,-2.008385785,0.791430003,4546367.855,-88758.62647,28
68,0.082046181,9.496903419,52,52,52,52,-2.009282205,0.800155818,4546367.889,-88758.69369,28
69,0.247566089,9.611372948,52,52,52,52,-2.011239628,0.803784997,4546367.947,-88758.81135,28
70,0.293950677,9.934488297,52,52,52,52,-2.014016506,0.81144713,4546368.003,-88758.87831,28
71,0.10737358,9.942266464,52,52,52,52,-2.015587372,0.814861665,4546368.049,-88758.99611,28
72,0.326651454,9.71241951,52,52,52,52,-2.015937178,0.818614909,4546368.084,-88759.06333,28
73,0.230289087,9.527373314,52,52,52,52,-2.016530264,0.823020914,4546368.108,-88759.18985,28
74,0.379751444,9.601400375,52,52,52,52,-2.017562106,0.823622262,4546368.142,-88759.26552,28
75,0.291431487,9.69169426,52,52,52,52,-2.018006321,0.81946611,4546368.177,-88759.39191,26
76,0.375470757,9.769538879,52,52,52,52,-2.017898596,0.803663479,4546368.211,-88759.45067,26
77,0.084344603,9.8179636,52,52,52,52,-2.01779713,0.817495074,4546368.28,-88759.58511,26
78,0.299073398,9.874876976,52,52,52,52,-2.018366381,0.81324897,4546368.314,-88759.66079,26
79,0.214583144,9.993563652,52,52,52,52,-2.019176781,0.846471801,4546368.371,-88759.77846,22
80,0.014713011,9.965229988,52,52,52,52,-2.019967739,0.837564628,4546368.417,-88759.854,22
81,0.196166113,9.887948036,52,52,52,52,-2.020193043,0.86380334,4546368.452,-88759.98038,22
82,-0.016627902,9.84412384,52,52,52,52,-2.020441649,0.875007947,4546368.487,-88760.06451,22
83,-0.038882945,9.702671051,52,52,52,52,-2.021733682,0.913023995,4546368.533,-88760.19921,22
84,0.183345735,9.915521622,52,52,52,52,-2.023207874,0.919202498,4546368.578,-88760.27475,22
85,-0.106980607,9.832343102,52,52,52,52,-2.023437572,0.967489009,4546368.658,-88760.40906,22
86,0.163939282,9.708378792,52,52,52,52,-2.023439703,0.975991176,4546368.704,-88760.5015,22
87,-0.059521724,9.507997513,52,52,52,52,-2.02459658,1.013713967,4546368.75,-88760.63621,22
88,0.236815274,9.206987381,52,52,52,52,-2.027147089,1.016379388,4546368.796,-88760.72865,22
89,0.589231312,9.866923332,52,52,52,52,-2.02930638,1.024849572,4546368.842,-88760.86336,22
90,0.629942715,10.25480366,52,52,52,52,-2.030357929,0.998001597,4546368.899,-88760.95567,22
91,0.591119945,10.34670734,52,52,52,52,-2.030236622,1.004068291,4546368.946,-88761.09037,22
92,-0.043078851,9.988060951,52,52,52,52,-2.029733018,1.005952363,4546368.992,-88761.18282,22
93,0.382309407,9.824656487,52,52,52,52,-2.029569234,1.038337108,4546369.027,-88761.32611,22
94,0.00083247,9.827237129,52,52,52,52,-2.030161388,1.036868943,4546369.073,-88761.41855,22
95,-0.064149186,9.561312675,52,52,52,52,-2.031272725,1.081404245,4546369.13,-88761.57003,22
96,0.449191451,9.841283798,52,52,52,52,-2.032101101,1.09706353,4546369.176,-88761.66248,22
97,0.314000905,10.1808567,52,52,52,52,-2.031913748,1.124533659,4546369.256,-88761.81369,22
98,0.070587009,9.696539879,52,52,52,52,-2.031983256,1.132672854,4546369.302,-88761.91458,22
99,0.205861479,9.539356232,52,52,52,52,-2.032970091,1.16242305,4546369.382,-88762.0658,22
100,0.217328042,9.392025948,52,52,52,52,-2.03543458,1.163152605,4546369.439,-88762.16656,22
101,0.457599998,10.18633461,52,52,52,52,-2.038213056,1.18097651,4546369.497,-88762.31804,22
102,0.372611672,9.816518784,52,52,52,52,-2.039885388,1.176167898,4546369.554,-88762.4188,22
103,0.397164315,9.814229012,52,52,52,52,-2.040025204,1.184523947,4546369.589,-88762.579,22
104,0.321989983,9.657680511,52,50,50,52,-2.039641309,1.181352483,4546369.646,-88762.67976,22
105,0.187949806,9.71968174,50,50,50,52,-2.039915482,1.206590594,4546369.704,-88762.83969,22
106,0.211698338,9.792639732,50,50,50,50,-2.040915499,1.214488166,4546369.75,-88762.94904,22
107,0.292666823,9.930791855,50,48,48,50,-2.04233989,1.254265021,4546369.831,-88763.15942,22
108,0.0162152,9.874167442,48,48,46,50,-2.043123392,1.26660518,4546369.888,-88763.27708,22
109,-0.015255128,9.938221931,46,48,46,50,-2.042568523,1.30401322,4546369.957,-88763.43688,22
110,0.001633681,9.640353203,46,46,46,50,-2.042602478,1.327188079,4546370.014,-88763.55455,22
111,0.436872095,9.936937332,46,46,46,46,-2.044223012,1.356979002,4546370.083,-88763.7228,22
112,0.172311991,9.720964432,46,46,46,46,-2.046056332,1.369911473,4546370.152,-88763.84879,22
113,0.16443342,9.903280258,46,44,44,46,-2.046948358,1.389978854,4546370.21,-88764.01717,22
114,0.082282655,9.870718956,44,44,44,46,-2.047726533,1.412366018,4546370.279,-88764.19387,22
115,0.220955163,9.547199249,44,44,44,46,-2.04819525,1.442953998,4546370.336,-88764.31999,22
116,0.191955924,9.515934944,44,44,44,44,-2.048909643,1.455367829,4546370.405,-88764.49669,22
117,0.407198191,10.01455593,44,44,44,44,-2.05005347,1.464179573,4546370.474,-88764.63113,22
118,-0.237857163,9.66180706,44,44,44,44,-2.050263461,1.474754114,4546370.543,-88764.80783,22
119,0.088448308,9.965291023,44,44,44,44,-2.049794478,1.486098959,4546370.612,-88764.99299,22
120,-0.248960555,10.06146526,44,44,44,44,-2.050040687,1.508302155,4546370.681,-88765.11897,22
121,-0.105115965,9.653353691,44,44,44,44,-2.049938555,1.52363217,4546370.739,-88765.30426,22
122,-0.011993526,9.478344917,44,44,44,44,-2.049395403,1.548545121,4546370.808,-88765.44715,13
123,0.015506581,9.688278198,44,44,44,44,-2.049018965,1.550402366,4546370.866,-88765.63244,13
124,-0.046661254,9.831741333,44,44,44,44,-2.049464246,1.57233307,4546370.934,-88765.77533,13
125,0.166593164,9.945362091,44,44,44,44,-2.050434435,1.552595971,4546371.004,-88765.96048,13
126,0.421389639,9.961374283,44,44,44,44,-2.050662136,1.560296294,4546371.083,-88766.09479,13
127,-0.166547135,9.78233242,44,44,46,44,-2.050542826,1.536110164,4546371.13,-88766.28866,13
128,0.078929044,9.683125496,44,46,46,44,-2.05086134,1.54317677,4546371.21,-88766.42297,11
129,0.261556923,9.868340492,46,46,46,44,-2.051733792,1.520814257,4546371.257,-88766.60839,11
130,0.053842869,9.552876472,46,46,46,44,-2.052605578,1.529001048,4546371.337,-88766.7427,11
131,0.27518788,9.593763351,46,46,46,44,-2.05250997,1.498242372,4546371.384,-88766.92812,11
132,0.189931616,9.792872429,46,46,46,44,-2.052432073,1.490347136,4546371.452,-88767.06256,11
133,0.257137924,9.757122993,46,46,46,44,-2.052374016,1.449815271,4546371.511,-88767.24784,11
134,0.22233358,10.05558491,46,46,46,44,-2.052421686,1.454249294,4546371.579,-88767.37383,11
135,0.008759006,10.14602566,46,46,46,44,-2.052897194,1.42841795,4546371.637,-88767.55912,11
136,0.225914493,9.39071846,46,46,46,44,-2.05340426,1.429204314,4546371.706,-88767.6851,11
137,0.160502061,9.552149773,46,46,46,46,-2.054632509,1.408108895,4546371.764,-88767.86194,11
138,-0.247035131,9.524171829,46,46,46,46,-2.056566231,1.416116889,4546371.832,-88767.97947,11
139,0.495409846,10.12711334,46,46,46,46,-2.057765985,1.421602053,4546371.913,-88768.20676,11
140,0.256746709,10.24532604,46,46,46,46,-2.057690351,1.40355069,4546371.982,-88768.33274,11
141,-0.259079427,9.59235096,46,46,46,46,-2.056940005,1.402799379,4546372.028,-88768.50971,11
142,-0.148556665,9.989479065,46,46,46,46,-2.057618312,1.42706129,4546372.097,-88768.6357,11
